Graph Name,Graph Type,Link,Duplicated?,Data Source,Data Citation?,Tidyverse?,Well-Commented?,Tags,Notes
Density Plot Average,Density Plot,https://worldbank.github.io/r-econ-visual-library/DensityPlotAverage.html,No,This graph uses fictional data created for the purpose of this graph.,Yes,Yes,Yes,,The data wrangling done in this graph needs to be saved within the dataset itself. 
Density Ridgeline,Density Plot,https://worldbank.github.io/r-econ-visual-library/DensityRidgeline.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,
Density Ridgeline Rounds,Density Plot,https://worldbank.github.io/r-econ-visual-library/DensityRidgelineRounds.html,No,"This graph comes from David McKenzie, World Bank; Marcel Fafchamps, Stanford University; Simon Quinn, University of Oxford; Christopher Woodruff, University of Warwick. Ghana Microenterprise Growth and the Flypaper Effect, Randomized Experiment (MGFERE) 2008-2010. https://microdata.worldbank.org/index.php/catalog/2249",Yes,Yes,Yes,,
Density With Data,Density Plot,https://worldbank.github.io/r-econ-visual-library/DensityWithData.html,No," Das, Jishnu, Liana Woskie, Ruma Rajbhandari, Kamran Abbasi, and Ashish Jha. ""Rethinking assumptions about delivery of healthcare: implications for universal health coverage."" BMJ 361 (2018): k1716.",Yes,Yes,Yes,,Needs a unit of observation.
Scatter CI,Scatter Plot,https://worldbank.github.io/r-econ-visual-library/ScatterCI.html,No,"This graph uses fictional data that is based on Christian, Paul, and Brian Dillon. 2018. ""Growing and Learning When Consumption Is Seasonal: Long-Term Evidence From Tanzania."" Demography 55 (3): 1091–1118. doi:10.1007/s13524-018-0669-4. ",Yes,Yes,Yes,,Needs an objective; the variables descriptions currently don’t make sense they need to be updated. 
Scatter Fitted Line,Scatter Plot,https://worldbank.github.io/r-econ-visual-library/ScatterFittedLine.html,No,This graph uses fictional data created for the purpose of this graph.,Yes,Yes,Yes,,The data wrangling done in this graph needs to be saved within the dataset itself. 
Scatter Plot with Labels,Scatter Plot,https://worldbank.github.io/r-econ-visual-library/ScatterLabels.html,No,"The graph comes from the World Bank's World Development Indicators, pulled from the internet directly using the ""WDI"" package. https://datacatalog.worldbank.org/dataset/world-development-indicators",Yes,Yes,Yes,,When running the code the graph doesn’t load the “USA” label or the lines connecting the dot to “RWA” or “USA”.
Scatter Plots Stratified,Scatter Plot,https://worldbank.github.io/r-econ-visual-library/ScatterPlotsStratified.html,No,"This graph comes from Das, Jishnu, Liana Woskie, Ruma Rajbhandari, Kamran Abbasi, and Ashish Jha. “Rethinking assumptions about delivery of healthcare: implications for universal health coverage.” Bmj 361 (2018).",Yes,Yes,No,,Not sure if it is colorblind friendly; needs more comments in the data wrangling section.
Scatter Polynomial,Scatter Plot,https://worldbank.github.io/r-econ-visual-library/ScatterPolynomial.html,No,"This graph is based on Christian, Paul, and Brian Dillon. 2018. ""Growing and Learning When Consumption Is Seasonal: Long-Term Evidence From Tanzania."" Demography 55 (3): 1091–1118. doi:10.1007/s13524-018-0669-4. ",Yes,Yes,Yes,,Needs an objective; the variables descriptions currently don’t make sense they need to be updated. 
ME Table,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/METable.html,No,"This graph comes from Satyanarayana S, Kwan A, Daniels B, Subbaraman R, McDowell A, Bergkvist S, Das RK, Das V, Das J, Pai M. “Use of standardised patients to assess antibiotic dispensing for tuberculosis by pharmacies in urban India: A cross-sectional study.” Lancet Infect Dis. 2016 Nov;16(11):1261-1268. Doi: 10.1016/S1473-3099(16)30215-8
",No,Yes,No,,Uncommented code blocks; favors privte → “favor private”
ME Table 2,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/METable2data.html,No,"Replication files for: Das, Jishnu, Liana Woskie, Ruma Rajbhandari, Kamran Abbasi, and Ashish Jha. ""Rethinking assumptions about delivery of healthcare: implications for universal health coverage."" BMJ 361 (2018): k1716.",No,Yes,No,,Uncommented code blocks; double check the citation is correct; favors privte → “favor private”
Regression Coefficient Graded,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/RegCoefGraded.html,No,"This graph comes from David McKenzie, World Bank; Marcel Fafchamps, Stanford University; Simon Quinn, University of Oxford; Christopher Woodruff, University of Warwick. Ghana Microenterprise Growth and the Flypaper Effect, Randomized Experiment (MGFERE) 2008-2010. https://microdata.worldbank.org/index.php/catalog/2249",Yes,Yes,No,,Needs an objective; variable descriptions needs to be updated; data wrangling needs more comments.
Regression Coefficient ME,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/RegCoefME.html,No,"This graph comes from Satyanarayana S, Kwan A, Daniels B, Subbaraman R, McDowell A, Bergkvist S, Das RK, Das V, Das J, Pai M. “Use of standardised patients to assess antibiotic dispensing for tuberculosis by pharmacies in urban India: A cross-sectional study.” Lancet Infect Dis. 2016 Nov;16(11):1261-1268. Doi: 10.1016/S1473-3099(16)30215-8
",Yes,Yes,No,,"Running into an error from lines 58 – 77; uncommented code blocks; add palette = ""Set2"" to make it color-blind friendly."
Regression Coefficient Multiple Outcomes,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/RegCoefMultipleOutcomes.html,REMOVE,See https://microdata.worldbank.org/index.php/catalog/2249,No,Yes,No,,REMOVE
Regression Coefficient Rounds,Regression Coefficients,https://worldbank.github.io/r-econ-visual-library/RegCoefRounds.html,No,"This graph comes from David McKenzie, World Bank; Marcel Fafchamps, Stanford University; Simon Quinn, University of Oxford; Christopher Woodruff, University of Warwick. Ghana Microenterprise Growth and the Flypaper Effect, Randomized Experiment (MGFERE) 2008-2010. https://microdata.worldbank.org/index.php/catalog/2249",Yes,Yes,No,,Needs an objective; removed the “tidymodels” package; and the data wrangling needs more comments.
Difference in Difference HISP,Difference In Difference,https://worldbank.github.io/r-econ-visual-library/DiffinDiff_HISP.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Not sure if the objective is correct; double check. Also removed the “tidymodels” package because it wasn’t loading correctly and it didn’t seem to add anything to the code.
Difference in Difference MHE,Difference In Difference,https://worldbank.github.io/r-econ-visual-library/DiffinDiff_MHE.html,No,"This graph is based on David H. Autor, 2003. ""Outsourcing at Will: The Contribution of Unjust Dismissal Doctrine to the Growth of Employment Outsourcing,"" Journal of Labor Economics, University of Chicago Press, vol. 21(1), pages 1-42, January. DOI: 10.1086/344122
",Yes,Yes,No,,Needs an objective; removed the “tidymodels” package; the variable descriptions need to be updated; and the data wrangling needs more comments.
Event Study Ribbon,Event Study,https://worldbank.github.io/r-econ-visual-library/EventStudyRibbon.html,No,"This graph is based on David H. Autor, 2003. ""Outsourcing at Will: The Contribution of Unjust Dismissal Doctrine to the Growth of Employment Outsourcing,"" Journal of Labor Economics, University of Chicago Press, vol. 21(1), pages 1-42, January. DOI: 10.1086/344122",Yes,Yes,No,,Needs an objective; removed the “tidymodels” package; the variable descriptions need to be updated; and the data wrangling needs more comments.
Event Study Difference in Difference,Event Study,https://worldbank.github.io/r-econ-visual-library/EventStudyDinD.html,No,"This graph is based on David H. Autor, 2003. ""Outsourcing at Will: The Contribution of Unjust Dismissal Doctrine to the Growth of Employment Outsourcing,"" Journal of Labor Economics, University of Chicago Press, vol. 21(1), pages 1-42, January. DOI: 10.1086/344122",Yes,Yes,Yes,,Needs an objective; removed the “tidymodels” package; the variable descriptions need to be updated; and the data wrangling needs more comments.
Randomization Inference,Randomization Inference,https://worldbank.github.io/r-econ-visual-library/RandomizationInference.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,No,,Needs an objective; removed the “tidymodels” package; and the data wrangling needs more comments.
Regression Discontinuity D2D Bins,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDD2Dbins.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; the data wrangling section needs more comments. 
Regression Discontinuity Black & White,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDBW.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; data wrangling needs more comments; data wrangling also outputting summary statistics.
Regression Discontinuity Color,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDCI.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; data wrangling needs more comments; the variable description needs to be updated; and need to make a decision on the additional code.
Regression Discontinuity Color Points,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDCIPoints.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; and the variable descriptions need to be updated. 
Regression Discontinuity Estimate,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDEstimate.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective.
Regression Discontinuity Histogram,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDHist.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; and the variable descriptions need to be updated. 
Regression Discontinuity Local Linear,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDLocalLinear.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective; and the variable descriptions need to be updated. 
Regression Discontinuity Points,Regression Discontinuity,https://worldbank.github.io/r-econ-visual-library/RDDPoints.html,No,"This graph comes from Gertler, Paul J.; Martinez, Sebastian; Premand, Patrick; Rawlings, Laura B.; Vermeersch, Christel M. J.. 2016. ""Impact Evaluation in Practice, Second Edition"" Washington, DC: Inter-American Development Bank and World Bank. https://openknowledge.worldbank.org/handle/10986/25030",Yes,Yes,Yes,,Needs an objective. 
Area Plot,Area Plot,,No,This graph uses fictional data created for the purpose of this graph.,Yes,Yes,Yes,,The gender.csv file will need to be uploaded to the master repo so that way we aren’t referring to the filepath in the “Loading Dataset” section.
